iter	Passed	Remaining
0	0	94
1	1	82
2	2	80
3	3	78
4	4	81
5	5	79
6	6	79
7	7	80
8	7	80
9	8	79
10	9	79
11	10	79
12	11	78
13	12	76
14	13	75
15	14	74
16	14	72
17	15	71
18	16	70
19	17	69
20	18	68
21	19	67
22	19	66
23	20	66
24	21	65
25	22	65
26	23	64
27	24	63
28	25	62
29	26	61
30	27	60
31	28	59
32	29	59
33	29	57
34	30	56
35	31	55
36	32	54
37	33	54
38	33	53
39	34	52
40	35	51
41	36	50
42	37	49
43	38	48
44	39	47
45	39	46
46	40	46
47	41	45
48	42	44
49	43	43
50	43	42
51	44	41
52	45	40
53	46	39
54	47	38
55	47	37
56	48	36
57	49	35
58	50	35
59	51	34
60	52	33
61	53	32
62	54	32
63	55	31
64	56	30
65	56	29
66	57	28
67	58	27
68	59	26
69	60	25
70	60	24
71	61	23
72	62	23
73	63	22
74	63	21
75	64	20
76	66	19
77	67	18
78	67	18
79	68	17
80	69	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	73	11
87	74	10
88	75	9
89	75	8
90	76	7
91	77	6
92	78	5
93	78	5
94	79	4
95	81	3
96	81	2
97	82	1
98	83	0
99	84	0
