iter	Passed	Remaining
0	155	155130
1	157	78449
2	158	52647
3	159	39708
4	160	31944
5	161	26765
6	162	23058
7	164	20351
8	165	18183
9	166	16439
10	167	15025
11	168	13844
12	169	12866
13	170	12017
14	172	11298
15	173	10651
16	174	10073
17	175	9563
18	176	9098
19	177	8682
20	178	8344
21	179	7993
22	180	7675
23	181	7382
24	182	7117
25	183	6874
26	184	6653
27	185	6444
28	186	6244
29	187	6056
30	188	5881
31	188	5715
32	189	5559
33	190	5417
34	191	5284
35	192	5162
36	193	5047
37	194	4931
38	195	4822
39	197	4733
40	199	4658
41	200	4575
42	201	4485
43	202	4403
44	203	4321
45	204	4246
46	205	4171
47	207	4106
48	208	4038
49	209	3977
50	210	3914
51	211	3858
52	213	3809
53	214	3758
54	215	3705
55	216	3653
56	217	3604
57	219	3562
58	220	3522
59	221	3477
60	223	3437
61	224	3399
62	225	3357
63	226	3317
64	228	3284
65	229	3245
66	230	3206
67	231	3170
68	232	3133
69	233	3097
70	234	3064
71	235	3033
72	236	3001
73	237	2969
74	238	2941
75	239	2910
76	240	2886
77	242	2868
78	244	2846
79	245	2823
80	246	2800
81	247	2775
82	248	2745
83	249	2718
84	250	2693
85	251	2668
86	252	2646
87	253	2623
88	254	2600
89	254	2576
90	256	2564
91	257	2545
92	259	2526
93	259	2505
94	260	2485
95	261	2465
96	262	2446
97	263	2429
98	264	2411
99	266	2394
100	266	2376
101	267	2358
102	268	2341
103	269	2323
104	271	2312
105	272	2297
106	273	2281
107	274	2267
108	275	2255
109	277	2243
110	278	2231
111	279	2217
112	280	2203
113	281	2190
114	282	2176
115	283	2163
116	284	2149
117	286	2137
118	287	2125
119	288	2112
120	289	2099
121	289	2084
122	290	2072
123	291	2060
124	293	2051
125	294	2040
126	294	2027
127	295	2015
128	296	2005
129	297	1994
130	298	1982
131	300	1974
132	301	1965
133	302	1955
134	303	1945
135	304	1934
136	305	1924
137	306	1916
138	307	1906
139	308	1896
140	309	1887
141	310	1876
142	311	1866
143	312	1856
144	313	1847
145	315	1843
146	316	1837
147	317	1829
148	318	1820
149	319	1812
150	320	1803
151	322	1796
152	323	1788
153	323	1779
154	324	1771
155	325	1763
156	326	1755
157	327	1747
158	328	1739
159	330	1733
160	330	1724
161	332	1718
162	333	1710
163	334	1703
164	335	1696
165	336	1690
166	337	1683
167	338	1675
168	339	1667
169	340	1660
170	341	1653
171	341	1646
172	342	1639
173	344	1635
174	345	1630
175	347	1624
176	347	1617
177	349	1611
178	350	1605
179	351	1600
180	352	1594
181	353	1587
182	354	1581
183	355	1575
184	356	1568
185	357	1562
186	358	1557
187	359	1552
188	360	1547
189	361	1542
190	362	1536
191	363	1530
192	364	1524
193	365	1518
194	366	1512
195	367	1506
196	368	1500
197	368	1494
198	369	1488
199	370	1482
200	371	1476
201	372	1470
202	373	1465
203	374	1461
204	375	1457
205	377	1453
206	378	1448
207	379	1443
208	380	1439
209	381	1434
210	382	1429
211	383	1424
212	384	1418
213	384	1413
214	385	1408
215	386	1403
216	387	1399
217	389	1395
218	390	1391
219	391	1387
220	392	1383
221	393	1378
222	394	1374
223	395	1369
224	396	1365
225	397	1360
226	398	1356
227	399	1352
228	400	1348
229	401	1344
230	402	1340
231	403	1337
232	404	1333
233	406	1329
234	407	1326
235	408	1322
236	409	1318
237	410	1314
238	411	1310
239	412	1307
240	413	1303
241	414	1299
242	415	1295
243	417	1292
244	418	1289
245	419	1287
246	421	1283
247	422	1279
248	423	1276
249	424	1273
250	425	1269
251	426	1266
252	427	1262
253	428	1259
254	429	1255
255	430	1252
256	432	1249
257	433	1246
258	434	1242
259	435	1239
260	436	1236
261	437	1232
262	438	1229
263	439	1226
264	441	1223
265	442	1219
266	443	1217
267	444	1213
268	445	1210
269	446	1208
270	448	1205
271	449	1202
272	450	1198
273	451	1195
274	452	1191
275	453	1188
276	454	1185
277	455	1181
278	456	1179
279	457	1176
280	458	1173
281	459	1170
282	460	1167
283	462	1164
284	463	1162
285	464	1160
286	465	1156
287	466	1154
288	467	1151
289	468	1148
290	469	1144
291	470	1141
292	472	1138
293	473	1135
294	474	1132
295	474	1129
296	476	1127
297	477	1125
298	478	1122
299	479	1119
300	481	1117
301	482	1115
302	483	1112
303	484	1109
304	485	1107
305	487	1105
306	488	1102
307	490	1101
308	491	1099
309	493	1097
310	494	1095
311	495	1092
312	496	1090
313	497	1087
314	498	1084
315	499	1081
316	500	1079
317	501	1076
318	502	1073
319	504	1071
320	505	1068
321	506	1067
322	508	1065
323	509	1062
324	510	1060
325	511	1057
326	512	1054
327	513	1052
328	514	1049
329	515	1047
330	516	1044
331	517	1042
332	519	1039
333	520	1037
334	521	1035
335	522	1032
336	523	1030
337	524	1027
338	525	1024
339	526	1022
340	527	1019
341	528	1017
342	529	1014
343	530	1012
344	532	1010
345	533	1007
346	535	1006
347	537	1006
348	538	1004
349	539	1002
350	541	1000
351	542	998
352	543	995
353	544	993
354	545	990
355	546	988
356	547	985
357	548	983
358	549	982
359	552	981
360	553	979
361	554	977
362	555	974
363	556	972
364	557	969
365	558	967
366	559	965
367	560	963
368	562	961
369	563	958
370	564	956
371	565	955
372	567	953
373	568	950
374	569	948
375	570	946
376	571	943
377	572	941
378	573	939
379	574	937
380	575	934
381	576	932
382	577	930
383	579	929
384	580	927
385	581	925
386	582	923
387	583	920
388	584	918
389	586	917
390	587	915
391	588	913
392	590	911
393	591	909
394	592	907
395	593	905
396	594	903
397	595	901
398	596	898
399	597	896
400	598	894
401	599	892
402	601	890
403	602	888
404	603	886
405	604	884
406	605	882
407	606	879
408	607	877
409	608	875
410	609	874
411	610	871
412	611	869
413	612	867
414	614	865
415	615	863
416	616	862
417	618	860
418	619	858
419	620	856
420	621	854
421	622	852
422	623	850
423	624	848
424	625	846
425	626	844
426	627	842
427	628	840
428	629	837
429	630	835
430	631	833
431	632	831
432	633	829
433	634	827
434	635	825
435	636	823
436	638	822
437	639	821
438	641	819
439	642	817
440	643	815
441	644	813
442	645	812
443	646	810
444	647	807
445	648	806
446	651	806
447	653	805
448	654	803
449	656	801
450	660	803
451	661	801
452	665	804
453	669	805
454	671	803
455	672	802
456	677	805
457	679	803
458	680	801
459	682	801
460	685	801
461	686	799
462	688	798
463	690	797
464	693	797
465	694	796
466	696	794
467	697	792
468	699	792
469	701	790
470	702	788
471	703	787
472	705	785
473	706	784
474	707	782
475	709	781
476	710	779
477	712	777
478	713	776
479	715	774
480	717	773
481	718	771
482	719	770
483	720	768
484	721	766
485	722	763
486	723	762
487	724	759
488	725	757
489	726	756
490	728	755
491	729	753
492	731	751
493	731	749
494	733	748
495	734	746
496	735	744
497	736	742
498	737	740
499	738	738
500	739	736
501	740	734
502	742	733
503	743	731
504	744	729
505	745	727
506	746	726
507	748	724
508	749	722
509	750	721
510	752	719
511	753	717
512	754	716
513	755	714
514	756	712
515	758	711
516	760	710
517	761	708
518	762	706
519	763	704
520	764	703
521	765	701
522	767	699
523	768	697
524	769	696
525	770	694
526	772	692
527	773	691
